Data,Hora,Tipus,Lloc,Competició,Esport,Partit,Qui juga,Nota
22/08/2026,14:00-17:00,,Club de Begues,Masculí,Waterpolo,"Quarts 1, Quarts 2, Quarts 3, Quarts 4","QF1: Guanyador P1 - Equip 3
QF2: Equip 1 - Equip 4
QF3: Guanyador P2 - Equip 5
QF4: Equip 8 - Equip 9",
22/08/2026,16:00-17:00,,Poliesportiu,Femení,Voleibol pista,"F2-F5, F3-F4","F2-F5: Tocapelotas - Dynamos
F3-F4: Motomamis - Birra sana",
22/08/2026,17:00-18:00,,Poliesportiu,Masculí,Voleibol pista,9è i 10è lloc,,
22/08/2026,18:00-19:00,,Poliesportiu,Masculí,Voleibol pista,"Semifinal consolació 1, Semifinal consolació 2",,
22/08/2026,19:00-22:00,,Club de Begues,,Atletisme,Tot,,ATLETISME / PES / SALT LONGITUD
22/08/2026,22:00-23:00,,Poliesportiu,Femení,Voleibol pista,"F1-F5, F2-F3","F1-F5: Las potras salvajes - Dynamos
F2-F3: Tocapelotas - Motomamis",
22/08/2026,22:00-01:00,,Altres,,Futbolí,Tot,,
22/08/2026,22:00-01:00,,Altres,,Dards,Tot,,
22/08/2026,23:00-00:00,,Poliesportiu,Masculí,Voleibol pista,"Semifinal 1, Semifinal 2",,
23/08/2026,10:00-13:00,,Altres,,Atletisme,Tot,,ATLETISME / 100m / RELLEUS
23/08/2026,13:00-16:00,,Club de Begues,Masculí,Waterpolo,"Semifinal consolació 1, Semifinal consolació 2, Semifinal 1, Semifinal 2",,
23/08/2026,13:00-14:00,,Poliesportiu,Femení,Bàsquet,"F1-F4, F5-F3","F1-F4: Las potras salvajes - Birra sana
F5-F3: Dynamos - Motomamis",
23/08/2026,14:00-15:00,,Poliesportiu,Femení,Handbol,F1-F4,Las potras salvajes - Birra sana,
23/08/2026,15:00-16:00,,Poliesportiu,Femení,Handbol,F5-F3,Dynamos - Motomamis,
23/08/2026,16:00-19:00,,Club de Begues,Femení,Waterpolo,"F1-F4, F5-F3, F1-F3, F4-F2","F1-F4: Las potras salvajes - Birra sana
F5-F3: Dynamos - Motomamis
F1-F3: Las potras salvajes - Motomamis
F4-F2: Birra sana - Tocapelotas",
23/08/2026,16:00-17:00,,Poliesportiu,Masculí,Handbol,7è i 8è lloc,,
23/08/2026,17:00-18:00,,Poliesportiu,Masculí,Handbol,3r i 4t lloc,,
23/08/2026,19:00-21:00,,Altres,,Atletisme,Tot,,CROSS
23/08/2026,21:00-22:00,,Poliesportiu,Masculí,Bàsquet,"7è i 8è lloc, 3r i 4t lloc",,
23/08/2026,22:00-23:00,,Poliesportiu,Masculí,Bàsquet,Final consolació · 5è i 6è lloc,,
23/08/2026,23:00-00:00,,Poliesportiu,Masculí,Bàsquet,Final,,
23/08/2026,00:00-01:00,,Poliesportiu,Masculí,Bàsquet,9è i 10è lloc,,
24/08/2026,18:00-21:00,,Club de Begues,Masculí,Waterpolo,"Final consolació · 5è i 6è lloc, Final, 7è i 8è lloc, 3r i 4t lloc",,
24/08/2026,18:00-19:00,,Poliesportiu,Femení,Voleibol pista,"F1-F4, F5-F3","F1-F4: Las potras salvajes - Birra sana
F5-F3: Dynamos - Motomamis",
24/08/2026,19:00-20:00,,Poliesportiu,Femení,Voleibol pista,"F1-F3, F4-F2","F1-F3: Las potras salvajes - Motomamis
F4-F2: Birra sana - Tocapelotas",
24/08/2026,20:00-21:00,,Poliesportiu,Masculí,Voleibol pista,"7è i 8è lloc, 3r i 4t lloc",,
24/08/2026,21:00-22:00,,Poliesportiu,Masculí,Voleibol pista,"Final consolació · 5è i 6è lloc, Final",,
24/08/2026,22:00-23:00,,Poliesportiu,Femení,Futbol sala,F1-F2,Las potras salvajes - Tocapelotas,
24/08/2026,23:00-00:00,,Poliesportiu,Femení,Futbol sala,F4-F5,Birra sana - Dynamos,
25/08/2026,18:00-19:00,,Poliesportiu,Femení,Futbol sala,F2-F5,Tocapelotas - Dynamos,
25/08/2026,19:00-20:00,,Poliesportiu,Femení,Futbol sala,F3-F4,Motomamis - Birra sana,
25/08/2026,,Límit,,Masculí,"Petanca, Dòmino, Tennis, Frontó, Pàdel, Billar","Semifinal consolació 1, Semifinal consolació 2, Semifinal 1, Semifinal 2, 9è i 10è lloc",,LIMIT SEMIS I 9ª - 10ª LLOC
26/08/2026,18:00-19:00,,Poliesportiu,Masculí,Futbol sala,Quarts 1,Guanyador P1 - Equip 4,
